Song,Song Id,Artist,Streams,Week,Region
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,"10,969,080",2017-01-06,United States
Bad and Boujee (feat. Lil Uzi Vert),4Km5HrUvYTaSUfiSGPJeQR,Migos,"10,639,198",2017-01-13,United States
Bad and Boujee (feat. Lil Uzi Vert),4Km5HrUvYTaSUfiSGPJeQR,Migos,"9,968,813",2017-01-20,United States
Bad and Boujee (feat. Lil Uzi Vert),4Km5HrUvYTaSUfiSGPJeQR,Migos,"11,504,142",2017-01-27,United States
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,"10,456,635",2017-02-03,United States
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,"10,934,411",2017-02-10,United States
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,"11,094,172",2017-02-17,United States
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,"10,777,772",2017-02-24,United States
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,"14,514,004",2017-03-03,United States
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,"12,232,129",2017-03-10,United States
Passionfruit,7hDc8b7IXETo14hHIHdnhd,Drake,"13,517,518",2017-03-17,United States
Passionfruit,7hDc8b7IXETo14hHIHdnhd,Drake,"13,339,705",2017-03-24,United States
HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,"15,584,467",2017-03-31,United States
HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,"14,685,844",2017-04-07,United States
HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,"24,035,443",2017-04-14,United States
HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,"20,017,050",2017-04-21,United States
HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,"18,114,284",2017-04-28,United States
HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,"17,089,236",2017-05-05,United States
HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,"16,113,243",2017-05-12,United States
HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,"15,065,019",2017-05-19,United States
HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,"13,760,632",2017-05-26,United States
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,"Luis Fonsi, Daddy Yankee, Justin Bieber","12,988,091",2017-06-02,United States
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,"Luis Fonsi, Daddy Yankee, Justin Bieber","12,593,939",2017-06-09,United States
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,"Luis Fonsi, Daddy Yankee, Justin Bieber","12,033,134",2017-06-16,United States
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,"Luis Fonsi, Daddy Yankee, Justin Bieber","11,395,183",2017-06-23,United States
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,"Luis Fonsi, Daddy Yankee, Justin Bieber","10,919,774",2017-06-30,United States
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,"Luis Fonsi, Daddy Yankee, Justin Bieber","10,346,156",2017-07-07,United States
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,"Luis Fonsi, Daddy Yankee, Justin Bieber","9,756,365",2017-07-14,United States
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,"Luis Fonsi, Daddy Yankee, Justin Bieber","8,779,758",2017-07-21,United States
Unforgettable,3B54sVLJ402zGa6Xm4YGNe,"French Montana, Swae Lee","8,351,910",2017-07-28,United States
Bank Account,5eqK0tbzUPo2SoeZsov04s,21 Savage,"8,198,664",2017-08-04,United States
Bank Account,5eqK0tbzUPo2SoeZsov04s,21 Savage,"8,174,720",2017-08-11,United States
