Popularity ranking,Artist,Fans tracking,Tour dates
1,Rihanna,"4,414,499",0 concerts
2,Drake,"4,387,646",0 concerts
3,Coldplay,"4,345,777",51 concerts
4,Eminem,"4,305,966",0 concerts
5,Maroon 5,"3,862,281",9 concerts
6,Ed Sheeran,"3,686,763",66 concerts
7,Bruno Mars,"3,660,669",12 concerts
8,Kanye West,"3,643,981",1 concert
9,Adele,"3,507,214",4 concerts
10,The Weeknd,"3,448,813",74 concerts
11,U2,"3,432,902",1 concert
13,Justin Bieber,"3,267,475",93 concerts
14,Katy Perry,"3,150,464",16 concerts
15,Taylor Swift,"3,124,887",0 concerts
16,Kendrick Lamar,"3,103,947",3 concerts
17,Lil Wayne,"3,081,921",6 concerts
18,Red Hot Chili Peppers,"3,080,083",37 concerts
19,Nicki Minaj,"3,048,075",2 concerts
20,Calvin Harris,"3,041,110",10 concerts
21,Imagine Dragons,"2,982,617",53 concerts
22,Chris Brown,"2,972,822",1 concert
23,Lady Gaga,"2,939,565",24 concerts
24,David Guetta,"2,775,333",18 concerts
25,Ariana Grande,"2,682,048",0 concerts
26,Justin Timberlake,"2,587,097",0 concerts
27,The Killers,"2,552,190",74 concerts
28,Wiz Khalifa,"2,544,546",13 concerts
29,Lana Del Rey,"2,523,763",0 concerts
30,Queen,"2,505,369",36 concerts
31,Usher,"2,495,728",24 concerts
32,Radiohead,"2,447,697",0 concerts
33,Kings of Leon,"2,365,611",25 concerts
34,Arctic Monkeys,"2,285,407",14 concerts
35,Ellie Goulding,"2,283,636",2 concerts
36,Pitbull,"2,224,570",52 concerts
37,Green Day,"2,194,230",25 concerts
38,Post Malone,"2,178,859",8 concerts
39,Muse,"2,160,680",17 concerts
40,Mumford & Sons,"2,159,674",0 concerts
41,Black Eyed Peas,"2,139,708",31 concerts
42,J. Cole,"2,138,568",9 concerts
43,Jason Derulo,"2,131,726",8 concerts
44,Sia,"2,103,518",0 concerts
45,The Rolling Stones,"2,097,632",14 concerts
46,Miley Cyrus,"2,095,025",0 concerts
47,Flo Rida,"2,028,106",2 concerts
48,Alicia Keys,"2,020,036",54 concerts
49,A$AP Rocky,"2,017,735",21 concerts
50,Big Sean,"2,010,142",5 concerts
51,Sam Smith,"2,009,173",1 concert
52,Metallica,"2,004,843",22 concerts
53,Foo Fighters,"1,995,094",46 concerts
54,Fleetwood Mac,"1,971,593",0 concerts
55,OneRepublic,"1,967,976",65 concerts
56,Future,"1,935,314",2 concerts
57,Fall Out Boy,"1,920,714",11 concerts
58,Snoop Dogg,"1,896,041",37 concerts
59,Britney Spears,"1,893,128",0 concerts
60,Elton John,"1,847,006",110 concerts
61,John Legend,"1,841,186",32 concerts
62,Shakira,"1,827,979",0 concerts
63,Twenty One Pilots,"1,819,508",38 concerts
64,Frank Ocean,"1,811,963",0 concerts
65,Kid Cudi,"1,802,499",2 concerts
66,Lorde,"1,794,228",59 concerts
67,Paramore,"1,793,902",1 concert
68,Gorillaz,"1,780,125",28 concerts
69,Travis Scott,"1,775,214",0 concerts
70,John Mayer,"1,771,673",31 concerts
71,Demi Lovato,"1,740,214",3 concerts
72,Khalid,"1,739,908",5 concerts
73,Skrillex,"1,727,289",0 concerts
74,MGMT,"1,722,198",0 concerts
75,Childish Gambino,"1,713,087",0 concerts
76,The Chainsmokers,"1,705,797",38 concerts
77,The Black Keys,"1,693,771",32 concerts
79,Panic! At the Disco,"1,682,012",0 concerts
80,Kesha,"1,679,555",0 concerts
81,Shawn Mendes,"1,663,864",88 concerts
82,AC/DC,"1,658,719",0 concerts
83,Billie Eilish,"1,657,736",38 concerts
84,Selena Gomez,"1,643,273",0 concerts
85,T.I.,"1,632,988",0 concerts
86,Foster the People,"1,632,860",0 concerts
87,Major Lazer,"1,623,252",2 concerts
88,Pharrell Williams,"1,616,935",0 concerts
89,Tyga,"1,598,874",9 concerts
90,blink-182,"1,576,246",1 concert
91,The xx,"1,566,950",0 concerts
92,Bastille,"1,532,156",46 concerts
93,Pearl Jam,"1,522,121",38 concerts
94,The Cure,"1,518,151",46 concerts
95,Macklemore & Ryan Lewis,"1,515,687",0 concerts
96,Bon Iver,"1,505,396",30 concerts
97,Trey Songz,"1,496,641",6 concerts
98,50 Cent,"1,490,640",14 concerts
99,Mariah Carey,"1,485,204",0 concerts
100,One Direction,"1,484,668",0 concerts
101,Ty Dolla $ign,"1,479,618",2 concerts
