Year,Region,Song Id,Total Streams,Song,Artist
2022,Viet Nam,5QDLhrAOJJdNAmCTJ8xMyW,3944443,Dynamite,BTS
2022,Egypt,5CeSq5JBv2wCeIHZA0PLtT,2292052,البخت,Wegz
2022,Finland,55qPuI6NekVyNPM6kh5DN4,4700378,Ram pam pam,BESS
2022,France,6HTJgY7iWWlVLSDHsfHePf,17955831,Jefe,Ninho
2022,Germany,1W1N3usYjgI3XGQA0iX9Vq,18225632,Sehnsucht,Miksu / Macloud
2022,Greece,7hVXZVcmpcHq1DJ05dnFZK,2894320,NANA,SNIK
2022,Guatemala,4gzsuuZypVbxs0Af1LSZyB,2111400,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy
2022,Honduras,4gzsuuZypVbxs0Af1LSZyB,1266041,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy
2022,Hong Kong,1ZrnCyms7CBYsCvkkVIkt8,1572253,記憶棉,MC 張天賦
2022,Hungary,5WthbIy7Qp7HmGYGRCZ43z,2052849,Zombi,Manuel
2022,Iceland,52xJxFP6TqMuO4Yt0eOkMz,144178,We Don't Talk About Bruno,Carolina Gaitán - La Gaita
2022,India,29m79w9xPMH4YCD6r8JSmV,81718261,Excuses,AP Dhillon
2022,Indonesia,2hHeGD57S0BcopfVcmehdl,36791967,Hati-Hati di Jalan,Tulus
2022,Ireland,531KGXtBroSrOX9LVmiIgc,1442131,Starlight,Dave
2022,Israel,3fCS3m3uWUgAFm3purs15C,1753086,לך לישון,Anna Zak
2022,Italy,1ZMGp9MTXbtAPvcKa0U3zS,48610993,Brividi,Mahmood
2022,Japan,7v8wKvNQQIxkugCFFjrkaO,7005663,残響散歌,Aimer
2022,El Salvador,4gzsuuZypVbxs0Af1LSZyB,1929806,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy
2022,Ecuador,1ri9ZUkBJVFUdgwzCnfcYs,1841941,MAMIII,Becky G
2022,"Korea, Republic of",3TSLqZssCoCdDlMhCJ08XW,358676,Still Life,BIGBANG
2022,Dominican Republic,1lh3TDFVCmgOE6szIPwoIK,431600,El Coba,Rochy RD
2022,Argentina,6mmPpaltUZK7xjNlBPQQ0p,13974317,Desesperados,Rauw Alejandro
2022,Australia,5PjdY0CKGZdEuoNab3yDmX,6671383,STAY (with Justin Bieber),The Kid LAROI
2022,Austria,4fouWK6XVHhzl78KzQ1UjL,883179,abcdefu,GAYLE
2022,Belarus,48fzAdCxamFYCHNXXLk6zn,531382,showdown,shadowraze
2022,Belgium,6lgIi3ixBsr4cMt3r19yX9,1601432,Dat heb jij gedaan,MEAU
2022,Bolivia,1ri9ZUkBJVFUdgwzCnfcYs,1334309,MAMIII,Becky G
2022,Brazil,0NBgyml7T0IvUNbXIkcSpH,63951616,Malvadão 3,Xamã
2022,Bulgaria,5bYyQzaUSXpGGrJuGZfafd,361989,А+Г=ВНЛ,Galena
2022,Canada,02MWAaffLxlfxAUY7c5dvx,8809811,Heat Waves,Glass Animals
2022,Chile,3E8xyYdIPpiH2wNEozE68I,11842593,Pégate,Standly
2022,Colombia,1JpzJfxjHGFUyTHXLZidok,8058110,Monastery,Ryan Castro
2022,Costa Rica,2gpQi3hbcUAcEG8m2dlgfB,562505,Plan A,Paulo Londra
2022,Cyprus,7hVXZVcmpcHq1DJ05dnFZK,98107,NANA,SNIK
2022,Czech Republic,0J3SIAOndpL1MS2Vq2RMQ9,1537215,Stíny,Viktor Sheen
2022,Denmark,31dynF6Vm6s6cLsHEBL8kp,3634409,Mucki Bar,Tobias Rahim
2022,Kazakhstan,48fzAdCxamFYCHNXXLk6zn,304342,showdown,shadowraze
2022,Estonia,4VJpJ0g4b0KqF7KZHiwOpV,209498,?mis sa tegid,5MIINUST
2022,Latvia,02MWAaffLxlfxAUY7c5dvx,324565,Heat Waves,Glass Animals
2022,Russian Federation,48fzAdCxamFYCHNXXLk6zn,8602027,showdown,shadowraze
2022,Singapore,6I3mqTwhRpn34SLVafSH7G,2990040,Ghost,Justin Bieber
2022,Slovakia,02MWAaffLxlfxAUY7c5dvx,508313,Heat Waves,Glass Animals
2022,South Africa,7BH6nyhnWTSfMUwwrCYbJF,1589886,Paris,Q-Mark
2022,Spain,0Bv7O6fmZk3GrNQFYJaXPn,33024662,"Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix]",La Pantera
2022,Sweden,697bFWgzBRm6bmnYWd8GyD,5987252,Hold Me Closer,Cornelia Jakobs
2022,Switzerland,02MWAaffLxlfxAUY7c5dvx,1945366,Heat Waves,Glass Animals
2022,Taiwan,72OVnXDzugvrCU25lMi9au,6606193,"如果可以 - 電影""月老""主題曲",WeiBird
2022,Thailand,3crZQarcOagdupRZNzRGWe,3107087,ถ้าเราเจอกันอีก (Until Then),Tilly Birds
2022,Turkey,72jYQj3RgTR1DFLfibD71B,18501676,ARASAN DA,UZI
2022,Ukraine,47iHvzU9Po0e6raFlgLBOF,2000193,astral step,shadowraze
2022,United Arab Emirates,02MWAaffLxlfxAUY7c5dvx,757740,Heat Waves,Glass Animals
2022,United Kingdom,531KGXtBroSrOX9LVmiIgc,16605890,Starlight,Dave
2022,United States,52xJxFP6TqMuO4Yt0eOkMz,60202593,We Don't Talk About Bruno,Carolina Gaitán - La Gaita
2022,Uruguay,2Gq636OOGgxCTqEuzCZhsa,947895,"Tiago PZK: Bzrp Music Sessions, Vol. 48",Bizarrap
2022,Lithuania,0JNPmXGU9K9DJpV9eHppZz,365807,Sentimentai,Monika LIU
2022,Saudi Arabia,1HhNoOuqm1a5MXYEgAFl8o,860735,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons
2022,"Venezuela, Bolivarian Republic of",2gpQi3hbcUAcEG8m2dlgfB,106625,Plan A,Paulo Londra
2022,Romania,3doVrLRkbLOBQUosLxiw9S,446379,Audemars,Marko Glass
2022,Nigeria,6hgoYQDUcPyCz7LcTUHKxa,658458,Calm Down,Rema
2022,Portugal,5zNxUkUW9WiV5oyg6gh2wB,3633966,DANÇARINA,PEDRO SAMPAIO
2022,Malaysia,6I3mqTwhRpn34SLVafSH7G,3178795,Ghost,Justin Bieber
2022,Mexico,4gzsuuZypVbxs0Af1LSZyB,20105544,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy
2022,Morocco,4g1AKn1RwrNmCUTzl6pSI3,498093,MAAK,Tagne
2022,Netherlands,1YR7VB3xx85Iad2n3soyMb,9035543,Amsterdam,Cristian D
2022,New Zealand,3Oww84xrmgjyr5J1ilOmAf,1358758,Down Under (feat. Colin Hay),Luude
2022,Nicaragua,4gzsuuZypVbxs0Af1LSZyB,502180,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy
2022,Luxembourg,02MWAaffLxlfxAUY7c5dvx,212478,Heat Waves,Glass Animals
2022,Norway,6xb3ooLtkGkl4j1rGPmGKz,4581745,ok jeg lover,Ramón
2022,Paraguay,6mmPpaltUZK7xjNlBPQQ0p,1865986,Desesperados,Rauw Alejandro
2022,Peru,1ri9ZUkBJVFUdgwzCnfcYs,6942114,MAMIII,Becky G
2022,Philippines,08MFgEQeVLF37EyZ7jcwLc,26119477,Pano,Zack Tabudlo
2022,Poland,2jG3STVcZ9fjYlhXPi7nJ1,11536285,Jetlag (feat. The Plug),Malik Montana
2022,Panama,1ri9ZUkBJVFUdgwzCnfcYs,444095,MAMIII,Becky G
2021,Honduras,2JPLbjOn0wPCngEot2STUS,3260694,Yonaguni,Bad Bunny
2021,Estonia,5PjdY0CKGZdEuoNab3yDmX,318248,STAY (with Justin Bieber),The Kid LAROI
2021,Finland,3EfMGeYXw69Saa14torWpK,4384079,Samma gamla vanliga - Remix,Cledos
2021,France,03y045SZqaC94yfXl1cU4E,29263491,Petrouchka (feat. PLK),Soso Maness
