Song,Song Id,Artist,Streams,Week,Region
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,"51,095,759",2017-01-06,Global
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,"51,021,927",2017-01-13,Global
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,"51,124,648",2017-01-20,Global
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,"52,796,064",2017-01-27,Global
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,"53,551,099",2017-02-03,Global
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,"53,604,545",2017-02-10,Global
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,"53,050,188",2017-02-17,Global
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,"51,475,833",2017-02-24,Global
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,"64,275,251",2017-03-03,Global
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,"57,006,531",2017-03-10,Global
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,"51,372,566",2017-03-17,Global
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,"48,548,944",2017-03-24,Global
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,"44,933,266",2017-03-31,Global
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,"42,773,326",2017-04-07,Global
HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,"41,372,895",2017-04-14,Global
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,"Luis Fonsi, Daddy Yankee, Justin Bieber","43,222,758",2017-04-21,Global
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,"Luis Fonsi, Daddy Yankee, Justin Bieber","48,406,923",2017-04-28,Global
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,"Luis Fonsi, Daddy Yankee, Justin Bieber","50,575,073",2017-05-05,Global
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,"Luis Fonsi, Daddy Yankee, Justin Bieber","52,708,398",2017-05-12,Global
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,"Luis Fonsi, Daddy Yankee, Justin Bieber","54,848,635",2017-05-19,Global
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,"Luis Fonsi, Daddy Yankee, Justin Bieber","51,033,858",2017-05-26,Global
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,"Luis Fonsi, Daddy Yankee, Justin Bieber","50,180,612",2017-06-02,Global
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,"Luis Fonsi, Daddy Yankee, Justin Bieber","48,663,312",2017-06-09,Global
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,"Luis Fonsi, Daddy Yankee, Justin Bieber","47,412,236",2017-06-16,Global
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,"Luis Fonsi, Daddy Yankee, Justin Bieber","44,044,159",2017-06-23,Global
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,"Luis Fonsi, Daddy Yankee, Justin Bieber","41,954,303",2017-06-30,Global
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,"Luis Fonsi, Daddy Yankee, Justin Bieber","40,160,782",2017-07-07,Global
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,"Luis Fonsi, Daddy Yankee, Justin Bieber","37,572,118",2017-07-14,Global
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,"Luis Fonsi, Daddy Yankee, Justin Bieber","33,868,177",2017-07-21,Global
Mi Gente,2rb5MvYT7ZIxbKW5hfcHx8,"J Balvin, Willy William","31,742,250",2017-07-28,Global
Mi Gente,2rb5MvYT7ZIxbKW5hfcHx8,"J Balvin, Willy William","32,361,062",2017-08-04,Global
Mi Gente,2rb5MvYT7ZIxbKW5hfcHx8,"J Balvin, Willy William","32,309,813",2017-08-11,Global
Mi Gente,2rb5MvYT7ZIxbKW5hfcHx8,"J Balvin, Willy William","32,010,050",2017-08-18,Global
Look What You Made Me Do,6uFsE1JgZ20EXyU0JQZbUR,Taylor Swift,"44,480,002",2017-08-25,Global
Look What You Made Me Do,6uFsE1JgZ20EXyU0JQZbUR,Taylor Swift,"35,206,453",2017-09-01,Global
Too Good At Goodbyes - Edit,0mel2N9Ws9r4yLQn5QE21Y,Sam Smith,"30,706,135",2017-09-08,Global
rockstar,1OmcAT5Y8eg5bUPv9qJT4R,"Post Malone, 21 Savage","35,821,535",2017-09-15,Global
rockstar,1OmcAT5Y8eg5bUPv9qJT4R,"Post Malone, 21 Savage","46,918,992",2017-09-22,Global
rockstar,1OmcAT5Y8eg5bUPv9qJT4R,"Post Malone, 21 Savage","46,473,893",2017-09-29,Global
rockstar,7wGoVu4Dady5GV0Sv4UIsx,"Post Malone, 21 Savage","45,176,611",2017-10-06,Global
rockstar,7wGoVu4Dady5GV0Sv4UIsx,"Post Malone, 21 Savage","46,995,997",2017-10-13,Global
rockstar,7wGoVu4Dady5GV0Sv4UIsx,"Post Malone, 21 Savage","45,887,403",2017-10-20,Global
rockstar,7wGoVu4Dady5GV0Sv4UIsx,"Post Malone, 21 Savage","42,953,918",2017-10-27,Global
rockstar,7wGoVu4Dady5GV0Sv4UIsx,"Post Malone, 21 Savage","40,508,703",2017-11-03,Global
rockstar,7wGoVu4Dady5GV0Sv4UIsx,"Post Malone, 21 Savage","39,007,291",2017-11-10,Global
rockstar,7wGoVu4Dady5GV0Sv4UIsx,"Post Malone, 21 Savage","38,095,538",2017-11-17,Global
rockstar,7wGoVu4Dady5GV0Sv4UIsx,"Post Malone, 21 Savage","36,803,492",2017-11-24,Global
rockstar,7wGoVu4Dady5GV0Sv4UIsx,"Post Malone, 21 Savage","35,751,279",2017-12-01,Global
rockstar,7wGoVu4Dady5GV0Sv4UIsx,"Post Malone, 21 Savage","33,496,703",2017-12-08,Global
rockstar,7wGoVu4Dady5GV0Sv4UIsx,"Post Malone, 21 Savage","32,598,777",2017-12-15,Global
rockstar,7wGoVu4Dady5GV0Sv4UIsx,"Post Malone, 21 Savage","29,659,184",2017-12-22,Global
rockstar,7wGoVu4Dady5GV0Sv4UIsx,"Post Malone, 21 Savage","30,769,464",2017-12-29,Global
rockstar,7wGoVu4Dady5GV0Sv4UIsx,"Post Malone, 21 Savage","29,389,063",2018-01-05,Global
Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,Camila Cabello,"30,948,101",2018-01-12,Global
God's Plan,2XW4DbS6NddZxRPm5rMCeY,Drake,"45,168,581",2018-01-19,Global
God's Plan,2XW4DbS6NddZxRPm5rMCeY,Drake,"54,061,893",2018-01-26,Global
God's Plan,2XW4DbS6NddZxRPm5rMCeY,Drake,"49,086,805",2018-02-02,Global
God's Plan,2XW4DbS6NddZxRPm5rMCeY,Drake,"45,893,551",2018-02-09,Global
God's Plan,2XW4DbS6NddZxRPm5rMCeY,Drake,"53,416,337",2018-02-16,Global
God's Plan,2XW4DbS6NddZxRPm5rMCeY,Drake,"54,891,573",2018-02-23,Global
God's Plan,2XW4DbS6NddZxRPm5rMCeY,Drake,"51,378,259",2018-03-02,Global
God's Plan,2XW4DbS6NddZxRPm5rMCeY,Drake,"47,148,714",2018-03-09,Global
God's Plan,2XW4DbS6NddZxRPm5rMCeY,Drake,"44,495,999",2018-03-16,Global
God's Plan,2XW4DbS6NddZxRPm5rMCeY,Drake,"42,879,151",2018-03-23,Global
Call Out My Name,1gm616Plq4ScqNi7TVkZ5N,The Weeknd,"40,628,023",2018-03-30,Global
God's Plan,2XW4DbS6NddZxRPm5rMCeY,Drake,"37,501,829",2018-04-06,Global
Nice For What,1cTZMwcBJT0Ka3UJPXOeeN,Drake,"41,781,391",2018-04-13,Global
Nice For What,1cTZMwcBJT0Ka3UJPXOeeN,Drake,"39,556,156",2018-04-20,Global
Better Now,7dt6x5M1jzdTEt8oCbisTK,Post Malone,"40,788,286",2018-04-27,Global
